,No,name,type,rating,count,code location,link,lat_long
0,1,Taste Cafe,,4.6,457,QXW7+36 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/KS5jRncaRgY9c8Vs5,"(18.7951875, 98.9630625)"
1,2,yesterday cafe',,4.4,135,QXW8+QF เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/iWJY4rcZj5ot4b1b6,"(18.7969375, 98.96618749999999)"
2,3,Nine One Coffee,,4.7,439,QXW8+QQ เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/aMEKVtvdbR8n1xMCA,"(18.7969375, 98.9669375)"
3,4,Morestto,,4.7,297,QXX7+WJ เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/t4a7mG1SLNfjDEAh8,"(18.7998125, 98.9640625)"
4,5,Ristr8to Original,,4.7,644,QXX8+MV เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/WatnZ6gn7NCcAkgk7,"(18.7991875, 98.9671875)"
5,6,8 Days a week,,4.2,327,RX27+H6 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/crJpZthK1MasSuT98,"(18.8014375, 98.9630625)"
6,7,Yelloo,,4.4,300,RX28+3V เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/PB97fXbJNYRmNKjF6,"(18.8001875, 98.9671875)"
7,8,MARS.cnx,,4.4,845,QXRH+JC เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/ynWe7UdwE2bmobuM8,"(18.7915625, 98.9785625)"
8,9,FOHHIDE,,4.7,292,QXX9+FF เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/szq1eQKT8zDWyEXy7,"(18.7986875, 98.9686875)"
9,10,Tiger Ted Cafe,,4.6,263,RX28+WH8 ตำบลช้างเผือก อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300,https://maps.app.goo.gl/x2NanjdJzRGNpbed7,"(18.8022875, 98.9664531)"
10,11,กาแฟรสนิยม,,4.4,667,QXXC+29 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/2CwrmyKa4Qr2TuEM6,"(18.7975625, 98.97093749999999)"
11,12,The Barisotel by The Baristro,,4.4,333,QXX9+35 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/j4LT39wTxEs1E52t8,"(18.7976875, 98.96793749999999)"
12,13,GRAPH ground,,4.6,243,QXXC+9F เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/xqC6c1XpVraQQpNL8,"(18.7984375, 98.9711875)"
13,14,The Larder Cafe & Bar,,3,1302,QXX8+JF เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/vbidiPAU3jiejEpM8,"(18.7990625, 98.96618749999999)"
14,15,Toffee Roasters,,4.9,221,QXX8+CX เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/VQ9yhgsYn2dN6754A,"(18.7985625, 98.9674375)"
15,16,Brew Fact,,4.4,270,QXWC+2Q เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/LPJJwKsRCJfKA8tM6,"(18.7950625, 98.97193750000001)"
16,17,Street Coffee Crew,,4.8,131,RX57+4X เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/SpTVPyDLW4p3YCBM7,"(18.8078125, 98.96493749999999)"
17,18,มิ่งมิตร ร้านกาแฟ,,4.5,279,QXVC+H7 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/bsMVEwLtos5hqJet7,"(18.7939375, 98.9706875)"
18,19,เฟิร์นฟอเรสต์คาเฟ่,,4.4,2197,QXVJ+8R เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/F5ik9VMACGpW733H8,"(18.7933125, 98.9820625)"
19,20,GRAPH quarter,,4.6,202,QXVC+6V เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/XA9wTxP55hmqRyFh6,"(18.7930625, 98.97218749999999)"
20,21,Roast8ry Coffee Flagship Store,,4.7,570,QXV9+X9 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/UBFrB9hEbF86wMBt8,"(18.7949375, 98.9684375)"
21,22,Zohng Coffee,,4.6,518,QXQM+R4 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/3KTmEvMBUSqxVA3p8,"(18.7895625, 98.98281250000001)"
22,23,Thor-Phan Coffee Roaster,,4.7,425,QXQJ+F3 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/jpkqTeE7FXzpTFN7A,"(18.7886875, 98.9801875)"
23,24,Nap’s Coffee Roaster CNX,,4.8,97,QXQP+R2 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/uV67pZJa9qF66wLg6,"(18.7895625, 98.98506250000001)"
24,25,กาแฟอาข่า อ่ามา พระสิงห์,,4.6,2111,QXQM+87 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/B1moQvxvjNUPKzdb9,"(18.7883125, 98.9831875)"
25,26,กาแฟริช,,4.6,245,QXWQ+3H เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/vP3t3w3ejUbmGxbU9,"(18.7951875, 98.98893749999999)"
26,27,TWENTY MAR,,4.9,426,QXQQ+P5 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/MkMrWsq3WnyhLK5y8,"(18.7893125, 98.9879375)"
27,28,CoolMuang Coffee,,4.6,617,QXQV+96 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/6kcLZBHu7PKeuggF9,"(18.7884375, 98.9930625)"
28,29,Brewginning Coffee,,4.6,771,QXRV+4W เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/g1b7imVP4asP6oDm9,"(18.7903125, 98.9948125)"
29,30,millilit cafe,,4.4,118,QXQW+X5 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/oKGmH7AVzR9wNKPP6,"(18.7899375, 98.9954375)"
30,31,ขจี,,4.4,765,Q2P4+F3 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/BGnzfX49o2Dma4AYA,"(18.7861875, 99.00518749999999)"
31,32,GRAPH contemporary,,4.5,253,Q2P5+RH เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/YbALWhgUXpkHhFoLA,"(18.7870625, 99.0089375)"
32,33,SELF,,4.6,203,Q2P3+36 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/hJvJAFgbxGyK7zUG7,"(18.7851875, 99.0030625)"
33,34,ISSARA Coffee Space,,4.8,102,Q2Q2+6C เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/SXStGu9PxEL4wBENA,"(18.7880625, 99.00106249999999)"
34,35,Still.Coffee&Life,,4.5,149,Q2Q2+GJ เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/LfdFgx48gJbitR6K9,"(18.7888125, 99.00156249999999)"
35,36,es•pe•cial Coffee Bar,,4.7,114,Q2P4+X9 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/KAduzi8g4HT73hNZ9,"(18.7874375, 99.0059375)"
36,37,Simply Happy - สุขพอดี,,4.7,407,Q2M4+FJ เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/ocEhbzEFivbEvv5o8,"(18.7836875, 99.0065625)"
37,38,Gateway Coffee Roaster,,4.4,468,QXQW+8C เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/C9WnKnouJGbiP3pm6,"(18.7883125, 98.9960625)"
38,39,Cafe Wander,,4.2,136,Q2M3+JF เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/AaTbbHDrUMP95mLt7,"(18.7840625, 99.0036875)"
39,40,ZEIT Roasters CAFE - Brewing Lab & Coffee Shop,,4.9,130,Q2M3+7C เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/DaLgUSw4MPbFS7Vi7,"(18.7831875, 99.0035625)"
40,41,Eternity - Specialty Coffee & Cult Cafe Thapae,,4.5,283,QXQW+7M เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/DeEts9bVkodovEdF7,"(18.7881875, 98.9966875)"
41,42,Looper Co.,,4.6,335,QXVW+7P เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/zDn5vwMVeuRn2CW9A,"(18.7931875, 98.99681249999999)"
42,43,Weave Artisan Society,,4.7,249,QXGP+FC เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/qMSJtSDNjjDtTMc69,"(18.7761875, 98.98606249999999)"
43,44,บ้านเลขที่สามสาม - House Number 33,,4.6,160,QXXG+W4 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/TQsYa3VBZiufB8L3A,"(18.7998125, 98.9753125)"
44,45,KRISP Café,,4.6,383,RX5M+J2 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/cRViAWMS2MJbQc1e8,"(18.8090625, 98.9825625)"
45,46,1988 Café,,4.5,138,R286+PM ตำบล ฟ้าฮ่าม อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/tPZ2YBrJuLAQXZ5B9,"(18.8168125, 99.0116875)"
46,47,BOB Coffee - บ็อบ,,4.6,208,RX2J+JG เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/ETARFFStPB6nVsFd6,"(18.8015625, 98.9813125)"
47,48,เออร์ลี่ อาวส์,,4.6,1131,RX4Q+9J เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/ir5YiCRXxc1V5DhB6,"(18.8059375, 98.98906249999999)"
